ENSEMBL,SYMBOL,ENTREZID,baseMean,log2FoldChange,lfcSE,pvalue,padj,FC_score,P_score,TargetRankAI_score,Rank
ENSG00000118785,SPP1,6696,1088.41127484888,5.88271812736866,0.480962095347292,9.541903734472619e-36,2.15866488184974e-31,0.9615642462003149,1.0,0.9807821231001574,1
ENSG00000012223,LTF,4057,4432.45800515217,4.39160888317312,0.360522091221046,2.32871172932416e-35,2.63412227262503e-31,0.7178338301998217,0.9971808769846255,0.8575073535922236,2
ENSG00000100985,MMP9,4318,2416.72369870546,4.91762001601764,0.508982941016151,2.15984245081101e-23,1.62873719215658e-19,0.8038133871827526,0.6126740517102971,0.7082437194465249,3
ENSG00000134028,ADAMDEC1,27299,1357.56772303395,5.07759947620922,0.630746778063742,3.25051501066302e-17,1.47072802172459e-13,0.8299629537123763,0.4184616560034223,0.6242123048578992,4
ENSG00000262406,MMP12,4321,448.807247442286,4.77179050261274,0.591368158075092,4.38108675228591e-17,1.6518887599493998e-13,0.7799767111607343,0.41681655277148993,0.5983966319661121,5
ENSG00000138615,CILP,8483,605.255282731887,3.53624737844774,0.372458037215767,1.21142044306531e-22,6.85149117086664e-19,0.5780200531817608,0.5923278097001509,0.5851739314409559,6
ENSG00000198183,BPIFA1,51297,243.372110559677,6.11786279555902,2.75710757138428,0.0002711084612742,0.0178293218587404,1.0,0.057029796464858534,0.5285148982324293,7
ENSG00000019186,CYP24A1,1591,70.4766108335678,4.86012170445988,0.834811720341957,1.87572829288694e-10,2.65216257312383e-07,0.7944149561490429,0.21445377879093208,0.5044343674699875,8
ENSG00000133063,CHIT1,1118,7853.10907523476,4.43202301301311,0.690419227401385,6.072825942624889e-12,1.24895946636366e-08,0.724439753083435,0.2577284091186375,0.49108408110103624,9
ENSG00000184530,C6orf58,352999,99.3864351169653,5.22479150608364,1.2670326757877,1.33899704634051e-06,0.0003606205973733,0.8540223409188477,0.11227321031400522,0.4831477756164264,10
ENSG00000117215,PLA2G2D,26279,468.646811040042,4.17466567967448,0.627428695834076,1.15439689554637e-12,3.2644901209931803e-09,0.6823732109037957,0.2767310995627953,0.4795521552332955,11
ENSG00000270547,LINC01235,401492,30.0851185106877,5.32957230252447,1.90581957473122,0.0003030903694608,0.0191531101349518,0.8711493671275575,0.05601549173586521,0.46358242943171135,12
ENSG00000134339,SAA2,6289,65.8115188637707,4.39900085586258,0.755840433082462,5.41734561786905e-10,6.12783049565258e-07,0.7190420908190082,0.20259345144565732,0.46081777113233274,13
ENSG00000117983,MUC5B,727897,4878.56875366327,5.07995608966654,1.50039105830413,1.79110460118449e-05,0.0024409734573853,0.8303481557896493,0.0851905277018685,0.4577693417457589,14
ENSG00000142583,SLC2A5,6518,238.469067577156,3.88627973408928,0.593583100312164,3.38565881852056e-12,7.65937594513905e-09,0.6352348628855072,0.2646532196637639,0.44994404127463555,15
ENSG00000263639,MSMB,4477,280.030573051042,4.9513134204097,2.15466974899381,0.0002925075271934,0.0186405571484462,0.8093207686847566,0.05639964644353969,0.4328602075641481,16
ENSG00000230657,PRB4,5545,1401.51649198587,4.9019322470077,3.74715456436604,0.0009629852499659,0.0417054510021871,0.8012491307529863,0.04499496224608497,0.42312204649953566,17
ENSG00000243466,IGKV1-5,28299,1974.72407451595,3.68068195640791,0.613337666757036,8.9249306462807e-11,1.34605804007205e-07,0.6016287189506327,0.22405849198071806,0.4128436054656754,18
ENSG00000211891,IGHE,3497,114.698236742329,4.28336833064068,1.00955557300213,9.50059172827227e-07,0.0002814903678115,0.7001412868804434,0.11578157918448265,0.407961433032463,19
ENSG00000104918,RETN,56729,135.13040953365,-4.08128598434309,0.939818811901594,5.2779704128494e-07,0.0001893184365796,0.6671097605042255,0.12139925575528679,0.39425450812975615,20
ENSG00000196549,MME,4311,3371.11041168014,-3.14836477195795,0.481844028763738,2.7915379494275297e-12,7.016995892210991e-09,0.5146184014200776,0.2658937594802596,0.39025608045016863,21
ENSG00000149968,MMP3,4314,41.3304125361845,4.01926447055224,0.928531253271466,8.71135305448896e-07,0.000270335795603,0.6569719859474192,0.11635420324497249,0.38666309459619586,22
ENSG00000292339,ASMTL,8623,29.4083640008256,4.10406215919624,1.03391378944146,3.82203229846509e-06,0.0007651843954705,0.670832657799288,0.1016191455595323,0.3862259016794102,23
ENSG00000111012,CYP27B1,1594,313.305791783863,3.71199441729381,0.748027518132027,2.62901704908114e-08,1.69932150575322e-05,0.6067469214883932,0.15553881354655627,0.3811428675174747,24
ENSG00000168542,COL3A1,1281,60653.4156204064,2.43485734770763,0.321736677773269,2.19625208986513e-15,7.097973004145549e-12,0.3979914929565112,0.3635600664457227,0.380775779701117,25
ENSG00000172724,CCL19,6363,1077.83571118736,3.25650576187045,0.535190116013734,5.243255587635719e-11,9.88484759659024e-08,0.5322946706543272,0.22843123764651724,0.3803629541504222,26
ENSG00000226979,LTA,4049,32.913042777511,4.14152375272441,1.19297165532369,2.12843886998137e-05,0.0028158872839525,0.6769559715740533,0.08316702987364066,0.380061500723847,27
ENSG00000211448,DIO2,1734,399.465626668865,3.22939028505443,0.537324934052933,8.452423442543159e-11,1.34605804007205e-07,0.5278624893972216,0.22405849198071806,0.3759604906889698,28
ENSG00000197993,KEL,3792,53.1897386618393,3.73096821457359,0.804245769407175,1.18824717521652e-07,5.97371463220517e-05,0.6098482982132116,0.1377349846694473,0.3737916414413295,29
ENSG00000160161,CILP2,148113,133.939233546698,3.82167899263977,0.910840883882166,9.58085060402809e-07,0.0002814903678115,0.624675498674789,0.11578157918448265,0.3702285389296358,30
ENSG00000138755,CXCL9,4283,6446.16007587532,3.65551229762922,0.779112871878776,1.09912314062264e-07,5.78266576983857e-05,0.5975145928873675,0.13819531422426437,0.36785495355581593,31
ENSG00000185664,PMEL,6490,657.054585164115,3.71405709609267,0.834901416924176,3.28903713640846e-07,0.0001305401528718,0.6070840782484888,0.12666403654074207,0.3668740573946154,32
ENSG00000133454,MYO18B,84700,36.6925717829516,3.93083596037986,1.04160653501519,1.07700190672747e-05,0.0017038471423703,0.6425178353514677,0.09028194392391953,0.3663998896376936,33
ENSG00000148346,LCN2,3934,393.09805236786,3.1595701159229,0.556077745814252,5.81348132872255e-10,6.26278038569954e-07,0.5164499795936,0.20228495029490617,0.3593674649442531,34
ENSG00000094755,GABRP,2568,159.789484350642,3.66838744257596,0.886480977205642,1.36052766660421e-06,0.0003621084400186,0.5996191096732107,0.11221490046578524,0.35591700506949797,35
ENSG00000104951,IL4I1,259307,318.691806024628,3.15797379127164,0.5827628430082,2.46240951433387e-09,2.1425804016452e-06,0.5161890511117747,0.18486588123496545,0.35052746617337005,36
ENSG00000130226,DPP6,1804,79.7509507314342,-3.55555910603357,0.827262297432142,7.84003242063302e-07,0.0002533786477885,0.581176666566397,0.1172716268075912,0.3492241466869941,37
ENSG00000165474,GJB2,2706,91.8035373546765,3.28828859021489,0.647834437062415,1.67063760092023e-08,1.25982781485395e-05,0.5374897574692049,0.15977689957210334,0.3486333285206541,38
