Model,Accuracy,Precision,Recall,F1,ROC_AUC,Runtime_sec
Random Forest,0.9590163934426229,0.3333333333333333,0.25,0.2857142857142857,0.75,0.5029
XGBoost,0.9590163934426229,0.3333333333333333,0.25,0.2857142857142857,0.711864406779661,0.094
Logistic Regression,0.9098360655737705,0.18181818181818182,0.5,0.26666666666666666,0.9258474576271186,0.046
Gradient Boosting,0.9508196721311475,0.25,0.25,0.25,0.7372881355932204,0.0745
SVM,0.819672131147541,0.05,0.25,0.08333333333333333,0.5042372881355932,0.0515
