"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,4.10026302632362e-09,4023,422,141,0.334123222748815,0.035048471290082,"GO:0048731","GO:BP","system development",20972,12138,"GO:0007275;GO:0048856"
"query_1",TRUE,6.93315356652015e-09,2320,422,96,0.227488151658768,0.0413793103448276,"GO:0048584","GO:BP","positive regulation of response to stimulus",20972,12006,"GO:0048518;GO:0048583;GO:0050896"
"query_1",TRUE,9.17200355274744e-09,3863,422,136,0.322274881516588,0.0352057986021227,"GO:0042221","GO:BP","response to chemical",20972,9400,"GO:0050896"
"query_1",TRUE,9.30096257371661e-09,2699,422,106,0.251184834123223,0.0392738051130048,"GO:0009653","GO:BP","anatomical structure morphogenesis",20972,3414,"GO:0032502;GO:0048856"
"query_1",TRUE,2.2995578352019e-08,1467,422,70,0.165876777251185,0.0477164280845262,"GO:0009719","GO:BP","response to endogenous stimulus",20972,3457,"GO:0050896"
"query_1",TRUE,3.14565699136832e-08,1883,422,82,0.194312796208531,0.0435475305363781,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950"
"query_1",TRUE,7.25565967918601e-08,2199,422,90,0.213270142180095,0.0409276944065484,"GO:0070887","GO:BP","cellular response to chemical stimulus",20972,15231,"GO:0042221;GO:0051716"
"query_1",TRUE,8.05274978236832e-08,1091,422,57,0.135071090047393,0.0522456461961503,"GO:0051241","GO:BP","negative regulation of multicellular organismal process",20972,12693,"GO:0032501;GO:0048519;GO:0051239"
"query_1",TRUE,9.7348225244717e-08,1961,422,83,0.196682464454976,0.0423253442121367,"GO:0008283","GO:BP","cell population proliferation",20972,3010,"GO:0009987"
"query_1",TRUE,1.05075208675925e-07,1652,422,74,0.175355450236967,0.0447941888619855,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896"
"query_1",TRUE,1.10870508447856e-07,3473,422,123,0.291469194312796,0.0354160668010366,"GO:0023051","GO:BP","regulation of signaling",20972,6204,"GO:0023052;GO:0050789"
"query_1",TRUE,1.26716219804406e-07,3480,422,123,0.291469194312796,0.0353448275862069,"GO:0010646","GO:BP","regulation of cell communication",20972,4105,"GO:0007154;GO:0050794"
"query_1",TRUE,1.89021730762223e-07,1639,422,73,0.172985781990521,0.0445393532641855,"GO:0042127","GO:BP","regulation of cell population proliferation",20972,9340,"GO:0008283;GO:0050794"
"query_1",TRUE,1.92645802546645e-07,873,422,49,0.116113744075829,0.0561282932416953,"GO:0006954","GO:BP","inflammatory response",20972,2454,"GO:0006952"
"query_1",TRUE,2.17454899715951e-07,1610,422,72,0.170616113744076,0.0447204968944099,"GO:0051707","GO:BP","response to other organism",20972,12978,"GO:0043207;GO:0044419"
"query_1",TRUE,2.36004373358807e-07,6598,422,195,0.462085308056872,0.0295544104274022,"GO:0007154","GO:BP","cell communication",20972,2584,"GO:0009987"
"query_1",TRUE,2.36426220495147e-07,1613,422,72,0.170616113744076,0.0446373217606944,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607"
"query_1",TRUE,2.45213100575742e-07,1123,422,57,0.135071090047393,0.0507569011576135,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501"
"query_1",TRUE,2.47345342697169e-07,1092,422,56,0.132701421800948,0.0512820512820513,"GO:0032101","GO:BP","regulation of response to external stimulus",20972,6887,"GO:0009605;GO:0048583"
"query_1",TRUE,2.55203778248562e-07,6558,422,194,0.459715639810427,0.0295821896919793,"GO:0023052","GO:BP","signaling",20972,6205,"GO:0050789"
"query_1",TRUE,2.62724084520417e-07,326,422,28,0.0663507109004739,0.0858895705521472,"GO:0070588","GO:BP","calcium ion transmembrane transport",20972,15076,"GO:0006816;GO:0098655"
"query_1",TRUE,2.88254690195608e-07,421,422,32,0.0758293838862559,0.0760095011876485,"GO:0006816","GO:BP","calcium ion transport",20972,2367,"GO:0030001"
"query_1",TRUE,3.68587766137385e-07,860,422,48,0.113744075829384,0.0558139534883721,"GO:0030001","GO:BP","metal ion transport",20972,6211,"GO:0006812"
"query_1",TRUE,4.37486172804549e-07,1236,422,60,0.14218009478673,0.0485436893203883,"GO:0040011","GO:BP","locomotion",20972,9265,"GO:0008150"
"query_1",TRUE,4.76886963633987e-07,1777,422,76,0.180094786729858,0.0427687113111987,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150"
"query_1",TRUE,6.00546830569941e-07,727,422,43,0.101895734597156,0.0591471801925722,"GO:0001568","GO:BP","blood vessel development",20972,341,"GO:0001944;GO:0048856"
"query_1",TRUE,6.64086171853407e-07,758,422,44,0.104265402843602,0.0580474934036939,"GO:0001944","GO:BP","vasculature development",20972,542,"GO:0048731;GO:0072359"
"query_1",TRUE,7.38323871409971e-07,1794,422,76,0.180094786729858,0.0423634336677815,"GO:0048870","GO:BP","cell motility",20972,12260,"GO:0009987"
"query_1",TRUE,7.58403441767989e-07,3984,422,133,0.315165876777251,0.0333835341365462,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896"
"query_1",TRUE,1.22042201272561e-06,1108,422,55,0.130331753554502,0.0496389891696751,"GO:0009628","GO:BP","response to abiotic stimulus",20972,3392,"GO:0050896"
"query_1",TRUE,2.49327754484989e-06,1260,422,59,0.139810426540284,0.0468253968253968,"GO:0006811","GO:BP","monoatomic ion transport",20972,2363,"GO:0006810"
"query_1",TRUE,2.65313702099514e-06,734,422,42,0.0995260663507109,0.0572207084468665,"GO:0070848","GO:BP","response to growth factor",20972,15214,"GO:0009719"
"query_1",TRUE,2.74705705396923e-06,706,422,41,0.0971563981042654,0.0580736543909348,"GO:0071363","GO:BP","cellular response to growth factor stimulus",20972,15479,"GO:0070848;GO:0071495"
"query_1",TRUE,2.81789302206997e-06,5739,422,172,0.407582938388626,0.0299703781146541,"GO:0048522","GO:BP","positive regulation of cellular process",20972,11956,"GO:0009987;GO:0048518;GO:0050794"
"query_1",TRUE,3.31249078963085e-06,6063,422,179,0.424170616113744,0.0295233382813789,"GO:0007165","GO:BP","signal transduction",20972,2595,"GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716"
"query_1",TRUE,4.03298165769365e-06,3031,422,107,0.253554502369668,0.0353018805674695,"GO:0009966","GO:BP","regulation of signal transduction",20972,3643,"GO:0007165;GO:0010646;GO:0023051;GO:0048583"
