"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000122188.14",664.576582127119,1.15043161801166,0.511028698023493,0.000931623125429629,0.041325705816852
"ENSG00000162894.13",500.871097384061,1.50749824532326,0.637362245133314,0.000616355395945283,0.0309175346396234
"ENSG00000196352.19",10796.3857587899,-1.55314463248107,0.502947851983393,7.8035265326042e-05,0.00717638946126443
"ENSG00000082512.16",1542.1859924391,1.05911368650244,0.41506293053323,0.00048991286109759,0.0261398553221952
"ENSG00000302784.1",84.9287085393419,-1.36629979648632,0.632111784942373,0.00100052799606445,0.0426270147927799
"ENSG00000289341.3",174.300277211773,-1.77252393158614,0.537847156976022,3.96676095546981e-05,0.00441938734667942
"ENSG00000154342.7",154.846378455683,-1.67358377969593,0.556569051981403,9.88385575872834e-05,0.00847578818306781
"ENSG00000162849.16",941.804387379716,1.44092631817734,0.43821780743061,4.46219527026919e-05,0.00478427694783412
"ENSG00000084710.15",488.953657842888,-1.35813381253851,0.405676889421116,3.63718745481765e-05,0.00411420458951699
"ENSG00000171303.8",1949.74578348094,-1.40908292651063,0.358483429380683,4.00273896045691e-06,0.000794333013179094
"ENSG00000300218.1",75.3961474377292,-2.85259667064909,0.804697189905105,1.53991576941763e-05,0.00220719934518406
"ENSG00000205221.14",36.6131607074669,2.48339964841773,1.01899848233621,0.00038497901858821,0.0223232839289078
"ENSG00000116016.15",46484.4871102344,-1.1649721318687,0.429422930241215,0.000330449088068903,0.0202048852853712
"ENSG00000228100.3",759.809193062216,-1.61827026953538,0.535272469376121,9.48508148666227e-05,0.00828498063601392
"ENSG00000183607.11",316.059216419976,-1.82191986480002,0.527092801340942,2.19026462456399e-05,0.00286071389539084
"ENSG00000116005.13",6076.77336185018,-1.04682929813824,0.402372171747643,0.000421024024470424,0.0238147759530478
"ENSG00000168874.15",2109.24996349383,-1.58429915941644,0.402281820835407,3.62234568102765e-06,0.000746101593518203
"ENSG00000291127.2",756.516569714751,1.83639455784347,0.792562690288902,0.000610039777431264,0.0307370376054064
"ENSG00000211592.8",67081.7328411344,2.22706168333146,0.681447765080164,4.24877995468449e-05,0.00464348545482257
"ENSG00000211598.2",2875.11207367791,2.55199607921849,0.600198304455501,8.72320783230447e-07,0.000270335795603047
"ENSG00000211599.2",39.4736024736315,2.53971954022814,1.04087277401608,0.000466691143583833,0.0254408523886676
"ENSG00000243466.1",1974.72407451595,3.68068195640791,0.613337666757036,8.9249306462807e-11,1.34605804007205e-07
"ENSG00000241755.1",382.696340752987,1.72474310508554,0.561975754391764,8.47834182446742e-05,0.00767222108379705
"ENSG00000241351.3",1718.38293543606,2.19656828992322,0.577383013849191,5.83283305224586e-06,0.00102291614062758
"ENSG00000243290.3",307.727034308469,1.56675833841856,0.644417817043952,0.000492667601229548,0.0262249862179202
"ENSG00000244437.1",786.445125352802,2.50028409269109,0.549574642773613,2.36915016094738e-07,0.000102937263146573
"ENSG00000239951.1",3640.83268593149,1.70441833354873,0.695510379639825,0.000462116004644957,0.0252886601502823
"ENSG00000244575.3",314.519857491974,2.86026365413566,0.610811859806789,1.17624721096787e-07,5.97371463220517e-05
"ENSG00000244116.3",171.86403678473,1.58918764052614,0.525720165885098,9.69195290391696e-05,0.00842960876906749
"ENSG00000242076.3",557.092041490595,1.90410088611474,0.592862132209665,4.95458472570409e-05,0.00516532581795409
"ENSG00000242371.1",348.341203326545,1.81530776705297,0.4455569137903,1.9968934437573e-06,0.000491040438892623
"ENSG00000251039.4",29.4247784779383,3.03184490668517,1.07297230601621,0.000194975135406337,0.0142302544446183
"ENSG00000251546.1",395.662163286944,2.30350080376315,0.771211837326015,9.27043509003318e-05,0.00816180483971325
"ENSG00000239975.3",256.490474882601,2.52030601663448,0.702174615550353,1.14770074716362e-05,0.00177838589062209
"ENSG00000243264.3",68.4535843467441,2.15591563815345,0.838509424226393,0.00032959002297899,0.0202048852853712
"ENSG00000242534.3",92.0102259664269,1.57754267461994,0.652870464573631,0.000504969878359015,0.026747939825157
"ENSG00000211625.2",417.821306698937,2.57691599800935,0.873527912492193,9.79136774357776e-05,0.00845458444515113
"ENSG00000224041.3",109.543502522796,2.62003855346334,0.676787291467501,3.72910168742999e-06,0.000759480569503522
"ENSG00000235584.4",561.062687913216,-2.12895328035582,0.556257334636202,5.0041655622872e-06,0.000912977721900189
"ENSG00000198203.11",473.554146382277,2.37482665384937,0.670148003950977,1.49765382895172e-05,0.00217313188229526
"ENSG00000144130.12",62.6938999733453,3.56267528867887,1.04907157279038,2.6547020123549e-05,0.00331172171026237
"ENSG00000115109.15",3975.18992715752,-1.23747119433089,0.405244935249041,0.000101136569104487,0.00859859088777835
"ENSG00000236485.2",64.1990053665299,-2.4274565748099,0.661434158300985,9.93329000302919e-06,0.00159376467899666
"ENSG00000176771.18",2745.24877781524,-1.52428200403332,0.373692155003054,2.0874128009935e-06,0.000502378082945489
"ENSG00000279512.1",363.158057031239,-1.29372693462759,0.60416895636511,0.00100961113143903,0.042772345742594
"ENSG00000144278.16",267.660704965415,-2.28658709837067,0.628046262175127,1.0337036482434e-05,0.00164686462212749
"ENSG00000153234.17",2971.3028833452,-1.43362466592465,0.657337109664208,0.000889698455534612,0.0402552963191191
"ENSG00000136542.10",3169.71099143101,-1.50348170352949,0.476487552539634,6.17247286135011e-05,0.00615153539834025
"ENSG00000236841.9",30.8682568546489,3.03421685969266,0.966633206363708,6.77305504970594e-05,0.00653725482131922
"ENSG00000078098.16",633.158521183673,1.04641919015803,0.461135948996009,0.000985554055364535,0.0424560846086337
"ENSG00000073737.18",429.970458186714,1.29721756448014,0.544605775076955,0.00064475099150961,0.0318476019234103
"ENSG00000304419.1",55.1022858137642,2.07397853657046,0.944611866380254,0.000689524199601971,0.0335464644464417
"ENSG00000168542.19",60653.4156204064,2.43485734770763,0.321736677773269,2.19625208986513e-15,7.09797300414555e-12
"ENSG00000204262.15",7796.04132126977,1.24153618346602,0.369909942441538,3.8484032909912e-05,0.00433146406229323
"ENSG00000115415.22",21915.0760737132,1.34772301397225,0.630731588429239,0.00107650365866476,0.0443601862841036
"ENSG00000168497.6",8126.7884231379,-1.61344670250448,0.416084028026228,4.5557660948989e-06,0.000863931897026605
"ENSG00000178562.19",517.680860368539,1.40371779401765,0.657340021401019,0.0010485850519481,0.0437677852956125
"ENSG00000224137.3",121.548524058986,2.70517860310569,0.648831120855485,1.23696753143988e-06,0.000341267273948347
"ENSG00000188282.13",95.3972462256258,2.64865330832573,0.843225837301821,5.8234419961351e-05,0.00585527681238064
"ENSG00000291236.2",88.9191756541512,2.95478405708978,0.791236522082139,6.45580530191818e-06,0.00111564645016698
"ENSG00000135917.17",896.17353787647,-1.55546446375115,0.446093081490993,2.07536079144195e-05,0.00276181689322302
"ENSG00000079263.20",1009.04201903862,1.18361939702436,0.44623844886631,0.000342332957888437,0.0205787303148358
"ENSG00000204128.7",67.624183468198,-1.69207240498831,0.804640749431237,0.00099947351941995,0.0426270147927799
"ENSG00000124839.14",462.747404533605,-1.13497919929619,0.510829668838191,0.000992739289711325,0.0425354942256426
"ENSG00000134115.14",575.603474126505,-1.42675211665065,0.398599689157685,1.54151746691014e-05,0.00220719934518406
"ENSG00000144681.12",636.320842072993,-1.85616269522922,0.674218269122421,0.000199590506194078,0.0143632371013834
"ENSG00000168026.20",1042.25452852595,-1.36905640463503,0.495211118592331,0.000218929801132064,0.0152395350492637
"ENSG00000114812.14",2339.85235343722,-1.74472034138332,0.518171117650952,2.96109411423749e-05,0.00358229048911202
"ENSG00000163815.7",450.043788722454,-1.14072457919762,0.471970995850534,0.000630725639263925,0.0313623056833505
"ENSG00000163817.18",208.6557215586,-2.0315212200741,0.512822968981388,3.12047025494982e-06,0.000685382510463397
"ENSG00000173578.9",170.35752303853,2.05731584630119,0.621490366338673,3.29022204641183e-05,0.00389710436418716
"ENSG00000012223.14",4432.45800515217,4.39160888317312,0.360522091221046,2.32871172932416e-35,2.63412227262503e-31
"ENSG00000163827.15",240.851315759069,-1.09231993598184,0.457674268774888,0.000704233341223583,0.0338975976138322
"ENSG00000114270.18",490.866579699633,1.98312316842839,0.609538879606817,4.33780209505919e-05,0.00470942409704232
"ENSG00000012171.21",1433.87177430107,-1.35772096668673,0.509179321777811,0.000291511773213865,0.0186405571484462
"ENSG00000114378.18",1129.08637700387,-1.29183289890114,0.408973561230885,6.99609085566074e-05,0.0067064645520175
